Username,Categories,Subscribers,Country,Visits,Likes,Continent,CPM,clusters
netdmuzik,Music and Dance,24400000,Turkey,6100.0,158,Asia,0.03759075802335372,0
TheElenaYa,"Animation, Toys",24400000,Unknown,611400.0,1100,Unknown,0.05180207363797166,3
rug,"Video Games, Comedy",24300000,United States,3200000.0,85300,North America,0.12373594958520713,3
kimpro828,Unknown,24300000,Indonesia,2300000.0,55300,Asia,0.09852000274135332,3
suntv,Unknown,24300000,India,15300.0,457,Asia,0.03755273031610415,0
DJSnake,Music and Dance,24300000,India,16700.0,846,Asia,0.03764085988421046,0
alanbecker,"Animation, Video Games",24300000,United States,7600000.0,582600,North America,0.2971043881234131,4
MayaAndMary,Animation,24100000,Unknown,134600.0,0,Unknown,0.03967247224379769,0
sagawa,Unknown,24100000,United States,408800.0,13300,North America,0.0479492164298442,0
juandediospantojaa,"Music and Dance, Movies",24000000,Mexico,3000000.0,133200,North America,0.12504355749335874,3
EnriqueIglesias,Music and Dance,23900000,United States,21800.0,2000,North America,0.03674553975288658,0
JamesCharles,"Beauty, Fashion",23900000,United States,964500.0,62300,North America,0.06728308128112578,3
MrMaxLife,Video Games,23900000,Russia,824200.0,19300,Europe,0.05787743344059422,3
TroomTroom,"Animation, Toys",23900000,Unknown,62900.0,1200,Unknown,0.03758706799208924,0
PeppaPigEspanolLatinoOficial,"Movies, Toys",23800000,Unknown,604400.0,1700,Unknown,0.049956824337995816,0
misskaty1133,"Video Games, Toys",23700000,Russia,1300000.0,15200,Europe,0.0677674444712778,3
Ninja,"Animation, Video Games",23700000,United States,204600.0,8700,North America,0.041364454438055205,0
NickyJamTV,"Music and Dance, Movies",23700000,Colombia,15800.0,1200,South America,0.03590232819220803,0
NickyJamTV,"Music and Dance, Movies",23700000,Colombia,15800.0,1200,South America,0.03590232819220803,0
Azhan5star,Unknown,23600000,India,4000000.0,181100,Asia,0.15396344666436046,4
ishaanali11,Daily Vlogs,23500000,India,3400000.0,242900,Asia,0.1485438342395029,4
ValentinaPontesofc,Unknown,23500000,Brazil,730200.0,2700,South America,0.05214117643219394,0
Jelly,"Animation, Video Games",23500000,United States,156400.0,5800,North America,0.03923984752853945,0
toyorbabytv,Music and Dance,23500000,Unknown,111400.0,0,Unknown,0.037364764472061045,0
SesameStreet,Unknown,23400000,Unknown,364800.0,971,Unknown,0.043101806532253324,0
TED,Unknown,23400000,United States,43900.0,954,North America,0.03563658726315034,0
GMMGrammy,Music and Dance,23400000,Thailand,2900.0,96,Asia,0.034560527462485884,0
WaveMusicBhojpuri,Music and Dance,23400000,India,8400.0,154,Asia,0.034696720153515784,0
TuzelityOfficial,Unknown,23300000,India,3200000.0,96600,Asia,0.12240328048613333,3
whitehillmusic,Music and Dance,23300000,India,15300.0,659,Asia,0.03463463264560176,0
VaniaManiaKids,"Animation, Toys",23300000,Unknown,325000.0,599,Unknown,0.041828386798425675,0
TechnicalGuruji,Unknown,23300000,India,169500.0,7600,Asia,0.03921225058580109,0
CuteAnimalsTV.,Unknown,23200000,Unknown,3400.0,9,Unknown,0.03397033583536216,0
BabyBusES,"Movies, Animation",23200000,Unknown,80000.0,332,Unknown,0.03579787404134222,0
DrossRotzank,Unknown,23100000,Mexico,1700000.0,105900,North America,0.08825874002180029,3
capitanyolotroll,"Animation, Comedy",23100000,Mexico,3200000.0,189300,North America,0.13505674666631856,4
LikeNastya_PRT,Unknown,23000000,Unknown,441000.0,2500,Unknown,0.0439135462015939,0
ZachChoi,Daily Vlogs,23000000,United States,142200.0,3000,North America,0.03703613756372015,0
GoldminesCineplex,Unknown,23000000,India,11800.0,129,Asia,0.0335934365670424,0
DangalTVChannel,Unknown,23000000,India,91900.0,2100,Asia,0.035737798693288254,0
AmiRodrigueZZ,"Animation, Comedy",22900000,Colombia,4300000.0,294400,South America,0.1750630367667696,4
Yoeslan,Unknown,22900000,India,2400000.0,49700,Asia,0.0959198473979988,3
sia,"Music and Dance, Movies",22900000,United States,0.0,0,North America,0.03300589390962672,0
vladandnikiarab2,Animation,22800000,Unknown,982900.0,4800,Unknown,0.05625505224888877,0
invictorgs3,"Animation, Video Games",22800000,Mexico,806400.0,25500,North America,0.05510754394324093,0
Kidibli,"Animation, Toys",22800000,Unknown,138500.0,2400,Unknown,0.036274985803706056,0
StokesTwins,"Video Games, Comedy",22700000,United States,11700000.0,235000,North America,0.33808095477419736,4
vladandnikispain,Unknown,22700000,Unknown,1000000.0,3000,Unknown,0.056100888329014616,0
mmoshaya,Unknown,22700000,Saudi Arabia,1100000.0,14100,Asia,0.06001218401007773,0
SSundee,"Animation, Video Games",22700000,United States,1700000.0,59800,North America,0.08049424381074219,3
souravjoshivlogs7028,Daily Vlogs,22700000,India,5600000.0,382300,Asia,0.21726334680077541,4
THECHAINSMOKERS,"Music and Dance, Movies",22700000,United States,38900.0,1800,North America,0.03357829696688837,0
ZachKing,"Movies, Comedy",22600000,United States,4900000.0,238500,North America,0.18014672440914048,4
BenAzelart,"Video Games, Comedy",22500000,United States,3700000.0,44900,North America,0.12428790932647561,3
DUDUeCAROL,Unknown,22500000,Brazil,964300.0,29200,South America,0.058424121951060316,0
fgteev,"Movies, Video Games",22500000,United States,826800.0,10300,North America,0.05252644753245567,0
VillageCookingChannel,Unknown,22500000,India,21500000.0,321500,Asia,0.5777556834128543,2
dednahype,Unknown,22400000,United States,598300.0,10400,North America,0.046932084277033326,0
disneyla,"Movies, Animation",22400000,Unknown,89100.0,105,Unknown,0.03361950952620276,0
smilefamily363,"Animation, Toys",22400000,Unknown,7600.0,45,Unknown,0.031715589260422034,0
NetflixIndiaOfficial,Unknown,22300000,India,61400.0,1400,Asia,0.032865627998355185,0
BeatboxJCOP,Unknown,22300000,India,1600000.0,0,Asia,0.0684470233471924,3
LIVCrime,Unknown,22300000,India,19400.0,249,Asia,0.0317244552408801,0
rotanamusic,Music and Dance,22300000,Saudi Arabia,2100000.0,12600,Asia,0.08187493032393658,3
RAFAELUIZOFICIAL,"Movies, Animation",22100000,Brazil,671700.0,30500,South America,0.050626403148640094,0
NatGeo,Unknown,22100000,United States,42200.0,871,North America,0.03175415397920488,0
williesalim,"Movies, Comedy",21900000,Indonesia,396200.0,0,Asia,0.039272892584639285,0
SMOL_official,Unknown,21900000,India,114500.0,2600,Asia,0.033093158365370176,0
alfredolarin,Unknown,21900000,El Salvador,12900000.0,707600,North America,0.43114465338198144,2
TlnovelasOficial,"Music and Dance, Animation",21900000,Mexico,5500.0,152,North America,0.03020856035872566,0
royaltyfam,Comedy,21900000,United States,4700000.0,67000,North America,0.1489326932490911,4
EvaBravoPlay,"Animation, Toys",21800000,Unknown,332800.0,1300,Unknown,0.03768949278436646,0
infinite,"Video Games, Comedy",21700000,United States,884800.0,45700,North America,0.056574863748213224,0
MartaAndRustam,Unknown,21700000,India,4100000.0,65900,Asia,0.13423267105718334,4
khangsresearchcentre1685,Education,21700000,India,7300000.0,501700,Asia,0.270908418565489,4
gmapublicaffairs,News and Politics,21700000,Philippines,4300.0,68,Asia,0.029579262419309568,0
vladandnikidn,"Music and Dance, Movies",21700000,Unknown,529400.0,1300,Unknown,0.04196689032628632,0
beckyg,Music and Dance,21500000,United States,0.0,0,North America,0.028880157170923383,0
