Username,Categories,Subscribers,Country,Visits,Likes,Continent,Cluster
dianaandromahin8102,"Animation, Toys",26200000,Unknown,109000.0,322,Unknown,1
nickiminaj,Music and Dance,26100000,United States,1600000.0,98300,North America,4
mariliamendoncareal,Music and Dance,26100000,Brazil,0.0,0,South America,2
TheLallantop,News and Politics,26000000,India,30800.0,822,Asia,2
AGT,"Music and Dance, Movies",25900000,United States,186800.0,3100,North America,4
davidguetta,Music and Dance,25900000,Brazil,0.0,0,South America,2
ThatLittlePuff,,25900000,United States,5100000.0,299000,North America,5
postmalone,Music and Dance,25900000,United States,223100.0,13100,North America,4
VanossGaming,"Animation, Video Games",25900000,United States,1300000.0,56500,North America,1
DanielLaBelle,,25900000,United States,1700000.0,130100,North America,4
abp_live,News and Politics,25800000,India,2300.0,49,Asia,2
LosPolinesios,"Music and Dance, Movies",25700000,Mexico,1400000.0,38400,North America,2
AlejoIgoa,Animation,25700000,Argentina,5700000.0,208400,South America,5
ZHCYT,"Design/Art, DIY and Life Hacks",25700000,United States,2600000.0,127300,North America,1
RansEntertainment,Movies,25700000,Indonesia,365500.0,11400,Asia,2
wbkids,"Movies, Animation",25700000,Unknown,76100.0,699,Unknown,4
coldplay,Music and Dance,25500000,United States,66900.0,3700,North America,4
ChrisBrownTV,Music and Dance,25500000,United States,102000.0,9700,North America,4
MarkRober,Science and Technology,25500000,United States,479200.0,31700,North America,4
danrhodes,"Movies, Comedy",25500000,United States,414500.0,19300,North America,4
TRANS7Official,"Movies, Comedy",25400000,Indonesia,1600.0,29,Asia,2
WatchMojo,"Movies, Animation",25100000,United States,46700.0,1400,North America,4
LeoNataFamily,,25000000,United States,2100000.0,42100,North America,4
kidstv,Toys,25000000,Unknown,132600.0,1600,Unknown,4
ChloeTing,"Fitness, Health, and Self-Help",24900000,United States,192700.0,7900,North America,1
PrestonYT,"Video Games, Comedy",24900000,United States,1300000.0,36100,North America,4
topperguild,"Animation, Comedy",24900000,United States,1800000.0,77600,North America,1
akshaynagwadiya,,24900000,India,3100000.0,143500,Asia,2
PenMovies,"Movies, Animation",24800000,India,59800.0,1200,Asia,2
likenastyaae,,24800000,Unknown,587400.0,3200,Unknown,4
unknownboyvarun,Music and Dance,24700000,India,1300000.0,119600,Asia,2
TsurikiShow,,24700000,India,604600.0,9500,Asia,2
1theK,Music and Dance,24700000,Indonesia,10100.0,595,Asia,2
DianaRomaARA,Animation,24600000,Unknown,1200000.0,5100,Unknown,1
shfashowindia,Daily Vlogs,24600000,Unknown,1300000.0,8800,Unknown,1
kidschannelindia,Music and Dance,24400000,Unknown,80300.0,385,Unknown,4
goldmineshindi,,24400000,India,12500.0,139,Asia,2
Venus_Movies,,24400000,India,39100.0,425,Asia,2
netdmuzik,Music and Dance,24400000,Turkey,6100.0,158,Asia,2
TheElenaYa,"Animation, Toys",24400000,Unknown,611400.0,1100,Unknown,1
rug,"Video Games, Comedy",24300000,United States,3200000.0,85300,North America,4
kimpro828,,24300000,Indonesia,2300000.0,55300,Asia,2
suntv,,24300000,India,15300.0,457,Asia,2
DJSnake,Music and Dance,24300000,India,16700.0,846,Asia,2
alanbecker,"Animation, Video Games",24300000,United States,7600000.0,582600,North America,5
MayaAndMary,Animation,24100000,Unknown,134600.0,0,Unknown,1
sagawa,,24100000,United States,408800.0,13300,North America,4
juandediospantojaa,"Music and Dance, Movies",24000000,Mexico,3000000.0,133200,North America,2
EnriqueIglesias,Music and Dance,23900000,United States,21800.0,2000,North America,4
JamesCharles,"Beauty, Fashion",23900000,United States,964500.0,62300,North America,1
MrMaxLife,Video Games,23900000,Russia,824200.0,19300,Europe,2
TroomTroom,"Animation, Toys",23900000,Unknown,62900.0,1200,Unknown,1
PeppaPigEspanolLatinoOficial,"Movies, Toys",23800000,Unknown,604400.0,1700,Unknown,4
misskaty1133,"Video Games, Toys",23700000,Russia,1300000.0,15200,Europe,2
Ninja,"Animation, Video Games",23700000,United States,204600.0,8700,North America,1
NickyJamTV,"Music and Dance, Movies",23700000,Colombia,15800.0,1200,South America,2
NickyJamTV,"Music and Dance, Movies",23700000,Colombia,15800.0,1200,South America,2
Azhan5star,,23600000,India,4000000.0,181100,Asia,2
ishaanali11,Daily Vlogs,23500000,India,3400000.0,242900,Asia,2
ValentinaPontesofc,,23500000,Brazil,730200.0,2700,South America,2
Jelly,"Animation, Video Games",23500000,United States,156400.0,5800,North America,1
toyorbabytv,Music and Dance,23500000,Unknown,111400.0,0,Unknown,4
SesameStreet,,23400000,Unknown,364800.0,971,Unknown,4
TED,,23400000,United States,43900.0,954,North America,4
GMMGrammy,Music and Dance,23400000,Thailand,2900.0,96,Asia,2
WaveMusicBhojpuri,Music and Dance,23400000,India,8400.0,154,Asia,2
